savjetodavno tijelo	advisory body
izometriCki	isometrically
prodavaonica voGa i povrGa	fruit and green-grocer's shop
graDevinski objekti	buildings
provlaCiti vodiCe	wiring
tip linije	line type
stroj za komprimiranje	compression machinery
proizvodno-distribucijski lanac	production-distribution chain
pobaciti	miscarry
poslijeratna hrvatska arhitektura	postwar croatian architecture
nesretno	unfortunately
sobar u hotelu	bell boy
senzitometar	sensitometer
aZuriranje programske podrSke	software update
ksilen	xylene
modernizacija industrije	modernization of industry
seoski momak	swain
emulgator hrane	food emulsifier
trpljenje	suffering
adresa pokretaCa povrata (poruke)	originator return address
kazalo	glossary
meta-baza	meta-base
bakterija escherichia coli	escherichia coli bacterium
osoba odgovorna za rad sustava	system operator
razvrstan u isti tarifni broj	classified under the same heading
cijena prijevoza	transport price
proGerdati	waste
iscrtaj ponovno	redraw
izokron	isochronous
crkveni red	monastic order
pretvoriti u zrnasto stanje	granulate
prodjevni	endothelial
durum braSno	durum flour
na koji nije utjecano	unaffected
protiv mrtvog hoda	antibacklash
montiran	fitted
polarna patka	eider
listovna uloZnica u obliku stupa	pillar box
fid	fid
osnovna postaja	primary station
fin	subtle
izopGenje iz crkvene zajednice	anathema
trudnice	preggies
numeriCka optimizacija	numerical optimization
dogaDaji	happenings
Sumska vila	dryad
uvjetno	conditionally
proizvodi bez kofeina	decaffeinated products
retencija	retention
proizvodnja hrane	food production
zemlje cGeu	cGeu countries
pokriGe za smrt	life cover
ugoDaj	feeling
crvast	vermicular
hitna pomoG	ambulance services
disketni pogon	floppy drive
znanstvena institucija	seat of learning
zakipjeti	boil down
zraCno nepropusan	airtight
plazmatski enzimi	plasmatic enzymes
tipiCnim	typical
osigurati ispravnu primjenu carinskoga zakonodavst	to ensure that customs legislation is correctly ap
hidroenergija	hydraulic energy
bez pjega	spotless
kontrola ulaza	entrance control
menstruacijski ciklus	menstrual cycle
multilateralnim	multilateral
selektivnost prijamnika	receiver selectivity
ugroZen	endangered
pavlini	paulite
postaviti aktivnu stranicu	set active page
nepeCen	uncooked
najam nekretnina	property leasing
akutni ZeluCani katar	gastritis
kontinentalna hrvatska	continental croatia
presvlaka	shroud
srediSnja toCka	pivot
gukati	coo
magnetohidrodinamika	magnetohydrodynamics
ukljuCivo	inclusive
unutarnjeg	interior
nepoizvodno vrijeme	idle time
golem	vastly
biokataliza	biocatalysis
sjedalica sa rukohvatom	arm chair
klijenti	practice
blizanci	twins
svinja-nazimica	female pigs
hidrauliCki kotaC	waterwheel
diclofenac kalij	diclofenac potassium
radijsko upravljanje na daljinu	radio remote control
baza podataka sustava	system database
protukiSna kapa	rain cap
prisilno	compulsorily
golet	barren land
imerzija	immersion
kontrola naoruZanja	arms control
termoelektriCni generator	thermogenerator
kemijski sastav oborine	precipitation chemistry
digitalni integrirani sklopovi	digital integrated circuit
radni ciklus	working cycle
reformacijski	reformation
klonuo	peaky
u takvu sluCaju	in such a case
maglovit	misty
atribucija uspjeha i neuspjeha	attribution for success and failure
zavrSna odredba	final provision
abesinac	abyssinian
gluhi	deaf
gluho	nook
engleski jezik i knjiZevnost	english language and literature
dodatna nagrada	bonus
zvuCno izolirana soba	soundstage
Siroki maC	broadsword
zavijeStan	bequeathed
mreZna osobina	network feature
faktor kritiCnog stanja	critical level factor
aluvij	alluvium
Cvor	tie
mullus surmuletus-ribarstveni podaci	mullus surmuletus-fishery data
sluSati razum	hear reason
huSkati	instigate
osvaja	overwhelmed
potapanje	submersion
ukorijeniti	rout
proSirivanje prolaza	passage enlargement
mast za strojeve	dope
dimljeni file lososa	lox
bokser	pugilist
odnosna tekstilna tkanina	the textile fabric concerned
crteZni isjeCak	clip art
oklopnjaCa	ironclad
ispisivanje bez	printing without
australski orah	macadamia nut
filologija	philology
smetati (nekog)	disturb
izbor povoljnih metoda izrade	selection of approaches
repiCino ulje	canola oil
stvoriti ribnjak	pond
ab-initio raCun	ab initio calculation
registar vlastitih pretplatnika	home location register
ekonomija osnovnih potreba	subsistence economy
elektriCna brojila	electricity meters
potvrda izdana od krcatelja da je teret pravilno i	inhibition certificate
turoban	sad
godina nastanka Stete	accident year
dolaktica	forearm
sto h a sliCno kodiranje	stochastic coding
neobjavljen	unrevealed
alepski bor	aleppo pine
tranzijent	transient
sortiranje	sorting
zapunjavanje	plugging
kvotirati	quote
organizacija nastave	organization of teaching
numeriCki proraCun mreZa	network numerical modeling
kneZevina andora	principality of andorra
sabijanje tla	soil compaction
ahilova peta	achilles heel
mjerna nesigurnost	uncertainty of measurement
primiti na prenoGiSte	take in
tankokljuni galeb	slender-billed gull
zvuCan	vocalic
predugaCak	too long
kraj bloka	end of block
graDevna Cestica	building plot
oCni kapak	eyelid
eritreja	eritrea
oZivljavanje	revival
Skolovanje	study
povoljnost	propitiatory
Skolovanja	studies
proSirena dvostruka eurokartica	extended double eurocard
primarni karcinom	primary carcinoma
bez rivala	unrivalled
bezvrijedna roba	trumpery
carinska povlastica	tariff preference
matnet (tacnet)	matnet (tacnet)
ne zadovoljava	unsatisfactory
tekstilni ostaci	textile remains
gubitak prava	foreclosure
stara vremena	yore
borova SiSarka	pine cone
bogat	wealtthy
mentalni leksikon	mental lexicon
elektrostatika	electrostatics
natjeCaj o javnim nabavama	contract award procedures
prodana duSa	prostitute
iscrpnost	minutia
franjevaCkom	franciscan
popularizacija znanosti	popularising science
katofaticizam	catophaticism
viSespojna upravljaCka jedinica	multipoint control unit
international business leaders forum	iblf
kontokorent	account-current
humanost	humannes
tlaCni regulacijski ventil	pressure-control valve
crveni papar	red pepper
humor u odgoju	humour in teaching
vgs	cdw phase diagrams
viSegodiSnji	perennial
ugasiti se	wear off
ekonomska teorija	economic theory
ispune	fulfilling
uspijevati	thrive
industrija boja i lakova	paints and varnishes
velika zagrada	brace
pouzdan	unfailling
pod zakletvom	pledged
stupnjevati	gradual
list pile	saw blade
ikoliko	any
maja	vest
optiCki instrumenti	optical instruments
kamionski	truck
provozu	transit
djelokrug	scope
udubiti	bulge inward
pokriti se	overcast
regionalni prijevoz	regional transport
australske vode	australian waters
izbrisati	wipe out
isplovljavaju	sail out
niskogradnja	civil engineering
nikalni prah	nickel powder
posrednik sustava za rad s d i reklo rij e m	directory system agent
koji je lemljiv	solderable
bazno zagaDenje	background pollution
svijeGnjak s viSe grana	candelabrum
iskoriStavanje mora	exploitation of the seas
proslijediti iznos	communicate an amount
elektromotorni pogon	motor drive
raCunalo za izvoDenje odrediSnog programa	object computer
pogled dizajna tablice	table design view
telereguliranje	teleregulation
mrtvo more u luci	undertow
datum i vrijeme	date and time
raspariti	decouple
poslovno odluCivanje	business decision making
repertoarno biranje	repertory dialing
funkcija preusmjeravanja	divert function
meDunarodno putovanje	international voyage
analiza reakcije	analysis of reaction
zemlja proizvoda	country of a product
upozorenje o pohranjenoj poruci	stored message alert
plata	wages
energetsko trZiSte	energy market
iata	iata
pozivanje zadnjeg biranog broja	last number redial
morsko podruCje	maritime area
izmjeniCno izvrtanje predznaka znamenki	alternate digit inversion
ubrati	collect
najkraGi	the shortest
relaksacijska svojstva	relaxation properties
analizator	analyzer
kada ste	you've
cenzura u kazaliStu	censorship in theatre
slike	pictures
krcati	bunker
digitalni fotoaparat	still video camera
nepognut	unbowed
oSit	diaphragm
digitalni prikaz	digital representation
analiza uvjeta	requirement analysis
glava pisaCa	printhead
razvrstati po kvaliteti	seed
primoran	forced
investicijski posao	investment transaction
brzine svjetlosti	lightspeed
vezan uz	related
primorac	coastal inhabitant
etil	ethyl
brod za otpatke	waste disposal ship
molba za pomoG	s.o.s.
baza podataka za upravljanje kontaktima	contact management database
pritegnuti vijak	screw
koder govora s binarnom uzbudom	bpe speech coder
euroobveznica	eurobond
pomahnitao	madman
dobara	goods
tijelo i agencija eu-a	eu body or agency
disupstituiranidioksepani	disubstituteddioxepane
ekstrapolacija	extrapolation
prijenos simbola uz stalnu brzinu	synchronous transfer mode
duhalica	snout
struCna Skola	vo-tech
pluGima	lungs
baroknom	baroque
noGni prozor	nocturne
Zivi	living
intenzitetet prestanka stanja	force of failure
retransmisija	retransmission
heterogen	heterogenous
duhovna moG	fortitude
Ziva	mercury
ekoloSka obiljeZja	ecological characteristic
godiSnji sud kojeg su odrZavali vlastelinski gospo	cout leet
znanstvene i tehniCke informacije	scientific and technical information
sticanje	acquirement
praGakati se	dabble
kvaliteta mlijeka	milk quality
bioloSki sistem	biosystem
provjera Zenskog spola	femininity control
radno stanje linije	off-hook
bezazlenost	naivete
samoinduktivan	self-induced
jeziCni resursi	language resources
unatoC tome	anyhow
traZenje cilja	goal seeking
potvrditi u sluCaju	confirm on
permutacijska matrica	permutation matrix
kontrola prekurzora	control of precursors
grCki	hellenic
unatoC tomu	nevertheless
grCke	greek
sustav govornih poruka	audiotex
grCka	greece
izraDen i proizveden	designed and manufactured
kabinet premijera	prime minister office
duga cjelobrojna vrijednost	long integer
ludog	crazy
endometrij	endometrium
gubitci na stazi	section loss
ono samo	itself
konzultacije	consultations
cijevna armatura	pipe fittings
opGa teorija prava	general theory of law
razdioba razmaka izmeDu impulsa	pulse interval distribution
toCenica	torse
upitnici emocionalne kompetentnosti	emotional competence questionnaires
sustavi podrSke odluCivanju	system for decision making support
gopher	gopher
zelena galica	copperas
artroskopski	arthroscopic
indiskretan	indiscrete
in situ testiranja	in situ tests
iznevjerenje	betrayal
upuGena osoba	insider
dostaviti informacije	to supply information
struCnjak	wiz
monotip	monotype
taktiCki manevar	manoeuvre
svjetska povijest	world history
kastel	castle
kamata na kamatu	interest upon interest
unuka	granddaughter
sigurne elektroniCke transakcije	secure electronic transactions
cjevovod (kaljuZni)	bilge piping
posljednje dostignuGe	state of the art
uokviriti gredama	nog
nespretnjakoviG	lubber
spis	writ
molitelj	solicitor
automatsko dovrSavanje crteZa	rendering
spit	self drive bolts
razmjena struCnjaka	secondment of experts
aproksimativno preslikavanje	approximate mapping
katehetika	catechism
podrZavanje cijena	price support
protuzakonito liSenje slobode	illegal restraint
fibroblast	fibroblast
politika zajednice	community policy
umjeravanje	calibration
spin	spin
smanjivati se	lessen
carinske tarife	tariffs
secesijskoj	art-déco
bojni pokliC	battle cry
juZni tirol	trentino-alto adige
intal	intal
beskrajan	vast
pozicioni	positional
klevetnik	spider
izvan kuGe	outdoors
stanova	apartments
tehnolog	technologist
stanovi	housing
geometrijska optika	geometrical optics
zaGi za	round
odbiGe	weaning
unos	uptake
zgodan si	you are handsome
donjega	bottom
odnosi u zajednici	intra-community relations
Zupa Cakovec	parish of Cakovec
podsloj rastavljanja i ponovnog sastavljanja	segmentation and reassembly sublayer
tuZitelj	suitor
daSak	whiffle
Srot	grits
konjunkturan	conjunctural
uranjeni odlazak	early departure
klizi po zemlji	taxi
ispitivanje proizvoda	product testing
SiSke	fringe
zakazivanje sastanka	schedule meeting
programska traka	taskbar
verifikacija podataka	data verification
CeZnja za domovinom	nostalgia
aromun	aromanian
cjevovodima	pipelines
potroSaCki pokret	consumerism
zakon o radu	labour law
prenemaganje	coxcombry
rasplodna kobila	stud mare
institucija zajednice	community institution
medicinska deontologija	medical deontology
video postupak	video effect
sintetiCki proizveden	man-made
putovanje u aranZmanu	inclusive tour
poStanski sanduk	letter box
sir brick	brick cheese
suCelje za upravljanje raCunalom	host command interface
pozdrav spuStanjem zastave, pozdrav zastavom	vailing
iznenaDenje	wonder
karabiner	krab
adaptabilnost	adaptibility
dignuti	pick up
kolektivni posao	team work
vodnogospodarski sustavi	water management systems
narav bolesti	natural history of disease
kreolac	creole
vjejatnost	plausibility
neudoban	uncomfortable
obalom	coasts
prouCavanje i lijeCenje duSevnih bolesti	alienism
europsko pravno podruCje	european legal area
polje odrediSne adrese	destination address field
odrZivost	viability
jednopolni	unipolar
europski test za vozila u kretanju	european transient cycle test
patohistologija placente	pathohistology of the placenta
prometa	traffic
jedinica za spremanje podataka	storage device
razdijeliti	tune out
postiGi rjeSenje	to reach a solution
kiGenost	flamboyance
zreli	aged
izrada makete	breadboarding
geomatika	geomatics
toluol	toluene
odlagaliSte otpada	scrap-heap
punilo	filler
usluga preuzimanja poruke (u mhs-u)	message retrieval service element
gen akt	akt gene
haj	hi
ureDenje prostorija	fit up
ham	horsecollar
pokrenuti naboj	mobile charge
nestajanjem	disappearance
ukidanje ograniCenja uvjetovana monopolom	deregulation
organski pristup	organic approach
randomizirani blok	randomised block
novCanice	paper money
pretraZivanje datoteke	file search
ruleta	reel
internacionalizam	internationalization
prijenos pri zbrajanju	add carry
youngove mjere	young measures
zaSiljeno	pointedly
inducirani prostor vjerojatnosti	induced probability range
ii vatikanski koncil	second vatican council
bakterijske sranice	bacterial cells
gledam sve tvoje igre	i watch all your games
poliribosomi	protein biosynthesis
izdrobiti	comminute
histidinski	histidine
prekapanje	digging
gospodarski sektor	sector of the economy
mikrokompoziti	microcomposites
indiskretnost	imprudence
zakonske	legislative
uCiniti prefinjenim	sophisticate
bikompaktan	bicompact
ha!	hah
zauzet	taken
diplomatski imunitet	diplomatic immunity
novoindustrijalizirana zemlja	newly industrialized country
kemijske vremenske ili tempirne bombe	natural and agroekological systems
ugodan miris	fragrance
debela	plank
debelo	trunk
oroCena sredstva	term deposit
ukrStavanje	crossing
lako udaranje	tap
avion lovac-bombarder	fighter-bomber plane
kremeni pijesak	flint sand
prikladnih	suitable
mrtvaCka kola	hearse
listu izvoDenja	playlist
arija	tune
crta do balonCiGa	callout line
asklepios	asklepios
modulacija sigma delta	sigma deltamodulation
mrgoDenje	scowl
uZivanje nadarbine	incumbency
arsenov disulfid	arsenic disulphide
donjo trijaski i donjokredni evaporiti	lower cretaceous evaporites
opariti	scald
sloZena signalizacija	composite signaling
planinska jenica	willow tit
napraviti prostor	make room
kotliG	skillet
vrelijoj	hot
optimiziranje	optimizing
obuhvaGale	encompassed
leksikalizacija	lexicalization
zaStita prava vlasniStva	protection of the ownership right
opticaj sredstava	cash flow
kod niske gustoGe s provjerom parnosti	low-density parity check code
zraCni put	skyway
savezni dom	federal chamber
laburistiCka stranka	labour party
Siroki dijapazon	wideband
usklaDivanje naoruZanja	harmonisation of weapons
standardni kalkulator	standard calculator
Zupanijska gospodarska komora	county chamber of commerce
zaoStrenost	acumination
opSirno izlaganje	perorate
umjereno	restrainedly
vrijednosna razina buke	weighted noise level
operacijsko lijeCenje	surgery
iGi u krevet	go to bed
hitrost	swiftness
inaCice	varieties
razgradnja elektrana	decommissioning of power stations
slijedovanje	rations
jaruZanje	dredging
posebna pristojba	specific duty
lomljenje leda	debacle
podizbornik	submenu
srediSte paZnje	spotlight
program prevoditelj	compiler
dati u zajam	lend
aromatski	aromatic
neekspolzivan	antiknock
metoda procjene	evaluation method
ispraviti	unbend
kliniCki bolniCki centar	clinical center
podraZivanje	arousal
dilatacijska	dilatative
naglavnik	prepuce
restrikcijske endonukleaze	restriction endonucleases
dobrovoljni rad	voluntary work
koji je pod vodom uronjen	submerse
rastavljaC	disconnector
pravilo iz popisa	rule in the list
devet puta	ninefold
kako ti je?	how are you?
brodski doCasnik	petty officer
mlaznica raprSivaCa	spray nozzle
proglaSeni	declared
budan	watchful
novatorstvo	contraption
posjed lopte	ball possession
svojeruCni potpis	autograph
proglaSeno	proclaimed
vodeni Zig	watermark
Sirokopojasna radio pristupna mreZa (stari naziv h	broadband radio access network
kreditiranje robe za izvoz	exporting goods loans
brzina signalnih elemenata	modulation rate
kriZni komad	crossover
takvog	such
pokretaC radnog sustava	boot loader
normizacija revizorske dokumentacije	standardisation of audit documentation
koordinacija financiranja	coordination of financing
pelud	propolis
baza	radix
intracelularna acidifikacija.	intracellular acidification
geofizika	geophysics
prihvat	reception
europski model poljoprivrede	european agricultural model
znanstveno-tehnoloSki razvoj	scientific-technological progress
ecac	ecac
otiraC	rubber
pretvorba abecede	encoding
kontrolajt	controlite
vruGica	fever
euklidska geometrija	euclidean geometry
prijelaz s govorne na podatkovnu vezu	voice/data transfer
na taj naCin	thus
duborezac	woodcutter
odaSiljanje u pozadinu	send to back
arhivistiCkom	brisati
oborine	rainfall
bez nagiba	aclinic
oborina	precipitation
brstiti	browsing
Satorski krov	awning
vagati	weight
oblaCenje	wear
ulazni okvir	ingress
popis korisnika elektroniCke poSte	mailing list
od onda	thence
gorljivo	with ardour
privatna linija	tie line
cdma kanal od pokretne prema osnovnoj postaji	reverse cdma channel
formirana geometrija	forming geometry
Zgoljav	scrubby
provenijencija	provenance
usavrSen	specialized
rijetki metal	special metal
zvjerokradica	poacher
rentni osiguranik	annuitant
spuSten dol	downcast
balansirani modulator	balanced modulator
palme	palm
znak za str (i)	ampersand
parlamentarna knjiZnica	parliamentary library
danski	danish
pisarski	typographical
danska	denmark
prema tomu	accordingly
permanentno uCenje	lifelong learning
varljiv	specious
Coja	scarf
koji hrabri	reassuring
povez	fillet
prema tome	whence
crnoglavi svraCak	lesser grey shrike
komunikacijski upravljaCki ureDaj	communications controller
postnatalna slabokrvnost	postnatal anemia
inovjeran	heterodox
automatsko upravljanje	automatic control
bazati	potter
plodina	produce-broker
tehniCko-tehnoloSki napredak	neutral technical and technological progress
plodine	berries
predstavniCko tijelo sektora poljoprivrede	agricultural sector representative body
europski vladari	european monarchs
proizvoditi laminat	laminate
duboko smrznuti proizvod	deep-frozen product
izdavaCa	publishers
usmjeravanje po direktoriju	directory routing
blizina opasnosti	impendence
svjesni	aware
svjesno	wittingly
povratna ruCica	restoring arm
ugledala	saw
istoCne zemlje	orient
pojavljivati	occur
konaCno istezanje	strain at break
ureDenje poslovnog prostora u zoni	adaptation of business premises in the zone
odvajati	segregate
oblikovanje sklopa	circuit design
polagac kabela	cable layer
dijagonalni sustav	diagonal fault system
Sumarska statistika	forestry statistics
evakuacija	evacuation
tzv.	so called
nejednolik	diversified
zapis kojim se prepoznaje posluZnik elektroniCke p	mail exchange record (mx record)
regionalne financije	regional finances
poveznik	gateway
globalno oznaCivanje Gelija (unutar svih gsm plmns	cell global identification
lipicaner	lipizzaner
alhidada	alidade
triploidizacija	triploidization
minuti	snatch
zakon o socijalnoj sigurnosti	social security legislation
druStveni sukob	social conflict
transkranijski dopler	transcranial doppler
minuta	minutes
Zenska osoba	woman
konkrecije	chalk-stone
promjena	wobble
konvencija iz arushe	arusha convention
kriZni splet	sacral plexus
promjene	lesions
oznaCiti slovima	letter
ukriZeni pokus	crossover experiment
bez smetnji	undisturbed
ustanak	uprising
osoba koja ranije izlazi iz sheme	early leave
termo element	thermopile
promjenu	change position
futures ugovor na osnovu gilt vrijednosnica	long gilt future
porezno efikasna Stednja	tax efficient savings
podina	shelf
i ti isto	you too
jezik za zube!	shut up!
opSivanje	seaming
s utezima	scaled
dijagonala	strut
akvalung	aqualung
u skladu s uvjetima	in accordance with the conditions
adultna dob	adulthood
povijest hrvatskoga knjiZevnog jezika	history of the croatian literary language
poroznost	porosity
srnjak	roebuck
ono Sto je odbaCeno	shedding
lampa za optereGenje	ballast lamp
poneko	some
dualnost	duality
ispis loSije kvalitete	draft
ogled	try
samaritanski	samaritan
peticija	petition
osteomijelitis	osteomyelitis
izuCeni	skilled
poneke	few(a)
demokratska tranzicija	democratic transition
znaCiti	speak
uvezen	imported
kontuzija	shell shock
djetliG	woodpecker
tlak pare	vapour pressure
idiomatski	idiomatic
domaCica	housewife
sparivanje na grafu	matching on graph
republika peru	republic of peru
jard (30 cm)	yard
analiza slike dokumenta	document image recognition
fiskalna godina	fiscal year
koji se moZe razabrati iz teksta	contextual
hipo i hiper osmotski regulatori	hypo and hyper-osmotic regulators
bataljun	battalion
korak usmjeren prema lopti	directional step
korektivno odrZavanje	corrective maintenance
vizualni identitet	visual identity
biografski	biographical
uklesan	engraved
tamno crvena boja	claret
potpisati na poleDini dokumenta	endorse
Zalostiv	piteous
znanstveni jezik	scientific language
izaGi	run out
potroSni materijal	consumables
testiranje na Zivotinjama	animal testing
bezmetioninski	methionineless
pruZiti pravo	grant power
unutraSnji sloj usploDa	endocarp
sustavima	systems
diakrilna kiselina	diacrylic acid
navaliti	rush
oCuvati mir	to maintain peace
mandula	almond
podraZavati klasiCni stil	classicise
televatmetar	telewattmeter
troSak glavnice	equity cost
prikljuCna toCka	binding post
u kvaru	broken-down
uglaDenost	refinement
Cetka	brush pen
skup korisniCkih informacija	payload
kolektivni transport	collective transport
jednoosni feroelektrici	uniaxial ferroelectrics
telepisaC	telerecorder
unakrsno ispit	cross question
blagoslov	blessing
petrolej	rock oil
graDani	townspeople
logistiCki pristup	logistical approach
kotao za kuhanje	steamer
CovjeCnost	humanity
graDana	city dwellers
adresabilan	addressable
zdjelica za kaSu	porringer
praviCan	right-minded
dizel motor	diesel engine
ustegnuti	back
naklonosti	affinities
zavaravati koga	impose upon
pljuskati	dabble
odmaranje	resting place
osiguran	provided
posvojeno	adopted
dogovora	arrangements
kormilo sve lijevo!	all port!
dogovori	conventions
carinsko izuzeGe	tariff exemption
vanjsko polje	outer field
intimnosti	intimacy
industrija obuGe	footwear industry
zrakoplovna transportna tvrtka	air carrier
animirani	animated
desetoro najpopularnijih	top ten
mrdnuti	budge
okus	taste
patrolni Camac	watch-boat
papir za pisanje	note paper
kanal ho	ho channel
sindrom ustezanja	abstinence syndrome
ukloniti (naredba)	reject
psihobioloSka struktura obitelji	psychobiological family structure
semiotiCki procesi	semiotic processes
lokvanj	water-lily
slobodna zona	free zone
prepustiti se	abandon oneself
vezivanje dva konopa pomoGu manjeg konopa	seizing
meDuparlamentarna suradnja	inter-parliamentary cooperation
incidentni tumori	incidental tumours
tajnik kabineta	head of office
pedagoSka izobrazba studenata	pedagogical education of students
veliko poduzeGe	large business
jednaZba	equation
ponovno oZivljavanje	revival
ismijevati	mock
ovCje krzno	sheepskin
gorski kotar	gosrki kotar region
gaditelj	wright
medicinska djela	medical papers
prikosnik	bowsprit
ulazeGi	entering
klizni	sliding
zatamnjenje	shadow
imigrant	immigrant
vezama	links
knjiZevni	literature
makromolekule	macromolecules
stalni posjetitelj kafiGa	barfly
podmetni klin	wedge
litra	litre
usidriti brod	berth
litri	litre
njiStati	neigh
osobno shvaGanje	version
uZivati	to enjoy
brvno	joist
klasiCna i kemijska oceanografija	oceanography
moralna bolest	moral insanity
snaZan	youthful
protokol interneta	internet protocol
odabrati tabelu	select table
epidemiologia	epidemiology
vijeGanje	discussion
venuGi	witheringly
rijetki oblaci tjerani vjetrom	scud
podzemlja	underground
podzemlje	underworld
invertiranje ako je negativno	invert if negative
septiCna encefalopatija	septic encephalopathy
naslovne rijeCi	title case words
zadrZati djelomiCno vlasniStvo	retain partial ownership
podvodnih	underwater
dopunjavanje	supplementation
hrkaC	snorer
kristalno	crystal
kristalni	crystalline
podjednak	same
teretni brod	tramp
strukturna prilagodba	structural adjustment
sakupljanje smeGa	garbage collection
belial	belial
genetiCki izolati	genetic isolates
neispisan	unwritten
truleZ klipa	ear rot
propuStati	ooze
naniSaniti	sight
pretorijanac	prGtorian
provjera redundancije	redundancy check
cjevovod (protupoZarni)	fire piping
zaStitni plin	blanketing gas
uporaba frekvencijskog pojasa	band usage
sedlo visoke peGi	bosh
na osnovi	by means of
